Bem Pat;Seq;Conta;DescriÁ„o Conta;Narrativa;Data Inv.;Plaqueta;LocalizaÁ„o;Un Neg;Plano CCusto;Centro Custo;MARCA;MODELO;LicenÁa Uso;EspecificaÁ„o TÈcnica
706886;0;135010402;EQUIPAMENTOS - PROD;REFORMA CABECOTE DA MAQUINA DE COSTURA;30/11/2016;706886;NI;0;TORT2007;7222;;;;
706887;0;135010402;EQUIPAMENTOS - PROD;MANOMETRO VERTICAL COM ROSCA NPT 1.2;30/11/2016;706887;NI;0;TORT2007;7231;;;;
706893;0;135010402;EQUIPAMENTOS - PROD;CILINDRO EXTRANGULADOR DNG 50-40 PPVA S8;30/11/2016;706893;NI;0;TORT2007;7231;;;;
706897;0;135010402;EQUIPAMENTOS - PROD;ROLAMENTO SKF 22215 EK;30/11/2016;706897;NI;0;TORT2007;7231;;;;
706899;0;135010402;EQUIPAMENTOS - PROD;KIT MONTAGEM ROLAMENTO TMFT 36 - SKF;30/11/2016;706899;NI;0;TORT2007;7231;;;;
706925;1;135010402;EQUIPAMENTOS - PROD;FRETE MOTOREDUTOR COMPLETO SEW DA VALVUL;30/11/2016;104581;ZOOTECNICA;0;TORT2007;7225;;0;RO-55416D;Y554002
706932;1;132010502;EQUIPAMENTOS C.P.D. - PROD;FRETE REFERENTE MOVIMENTACAO ATIVO;30/11/2016;706932;NI;0;TORT2007;7231;;;;
706942;1;135010402;EQUIPAMENTOS - PROD;FRETE BOMBA CENTRIFUGA HORIZONTAL MONOES;30/11/2016;104575;FOSFATO;0;TORT2007;7227;;0;BO-51106E-02;Y511001
706953;0;132010902;MOVEIS E UTENSILIOS - PROD;INSTRUMENTO PARTICULAR DE PRESTA«√O DE S;30/11/2016;706953;NI;0;TORT2007;7231;;;;
706954;1;135010802;MAQUINAS E ACESSORIOS - PROD.;FRETE REFERENTE LAVADORA DE PE«AS POR UL;30/11/2016;706954;NI;0;TORT2007;7231;;;;
706955;0;132010902;MOVEIS E UTENSILIOS - PROD;SERVICOS ELETRICOS;30/11/2016;706955;NI;0;TORT2007;7231;;;;
706956;0;132010902;MOVEIS E UTENSILIOS - PROD;CONTRATO DE PRESTA«√O DE SERVI«OS DE ENG;30/11/2016;706956;NI;0;TORT2007;7226;;;;
706957;0;132010902;MOVEIS E UTENSILIOS - PROD;M.O. INTERNA FOPAG MES 05.2016;30/11/2016;706957;NI;0;TORT2007;7231;;;;
706966;0;135010802;MAQUINAS E ACESSORIOS - PROD.;SERVICOS PREST. NA UNIDADE COMPRESSORA;30/11/2016;706966;NI;0;TORT2007;7231;;;;
706967;0;132010902;MOVEIS E UTENSILIOS - PROD;INTRUMENTO PARTICULAR DE PRESTA«√O DE SE;30/11/2016;706967;NI;0;TORT2007;7231;;;;
706968;0;132010902;MOVEIS E UTENSILIOS - PROD;CONTRATO DE PRESTA«√O DE SERVI«OS DE ENG;30/11/2016;706968;NI;0;TORT2007;7231;;;;
706969;0;132010902;MOVEIS E UTENSILIOS - PROD;INSTRUMENTO PARTICULAR DE PRESTA«√O DE S;30/11/2016;706969;NI;0;TORT2007;7231;;;;
706970;0;132010902;MOVEIS E UTENSILIOS - PROD;M.O. INTERNA FOPAG MES 06.2016;30/11/2016;706970;NI;0;TORT2007;7231;;;;
7651;0;135010802;MAQUINAS E ACESSORIOS - PROD.;ESMERILHADEIRA LIXADEIRA ANGULAR 7 GWS;30/11/2016;7651;NI;0;TORT2007;7231;;;;
7703;1;132010902;MOVEIS E UTENSILIOS - PROD;SERVICO DE MONTAGEM DA MESA.;30/11/2016;17608;CONTROLADORI;0;TORT2007;5130;0;;;
7820;1;135010402;EQUIPAMENTOS - PROD;FRETE NO TRANSPORTE DO HOMOGENIZADOR;30/11/2016;7820;NI;0;TORT2007;7222;;;;
800013;16;135010402;EQUIPAMENTOS - PROD;SENSOR DE NIVEL PROJ. NEW SYSTEM MIXER 4;30/11/2016;800013;NI;0;TORT2007;7225;;;;
800015;20;132010502;EQUIPAMENTOS C.P.D. - PROD;KIT TOMADAS MODELO TP2 RABICHO PRETO;30/11/2016;800015;SALA REUNI√O;0;TORT2007;1160;0;;;
800015;22;132010502;EQUIPAMENTOS C.P.D. - PROD;MAO-DE-OBRA PARA INSTALACAO DOS CABOS;30/11/2016;800015;SALA REUNI√O;0;TORT2007;1160;0;;;
800015;24;132010502;EQUIPAMENTOS C.P.D. - PROD;SERVICO DE INSTALACAO DE CARPETES;30/11/2016;800015;SALA REUNI√O;0;TORT2007;1160;0;;;
800015;26;132010502;EQUIPAMENTOS C.P.D. - PROD;SL - REMODELACAO DO PREDIO ADM;30/11/2016;800015;SALA REUNI√O;0;TORT2007;1160;0;;;
800015;28;132010502;EQUIPAMENTOS C.P.D. - PROD;SOFTWARE CON-SMBS-WS96LPBR-BR;30/11/2016;800015;SALA REUNI√O;0;TORT2007;1160;0;;;
800015;29;132010502;EQUIPAMENTOS C.P.D. - PROD;SERVICO DE INSTACOES ELETRICAS;30/11/2016;800015;SALA REUNI√O;0;TORT2007;1160;0;;;
800015;30;132010502;EQUIPAMENTOS C.P.D. - PROD;GARANTIA TROCA AVANCADA;30/11/2016;800015;SALA REUNI√O;0;TORT2007;1160;0;;;
800015;33;132010502;EQUIPAMENTOS C.P.D. - PROD;SERVICO DE ALTERACAO DE DIVISORIAS, DEVI;30/11/2016;800015;SALA REUNI√O;0;TORT2007;1160;0;;;
800015;35;132010502;EQUIPAMENTOS C.P.D. - PROD;SERVICOS DE ADEQUACAO ELETRICA E MANOBRA;30/11/2016;800015;SALA REUNI√O;0;TORT2007;1160;0;;;
800015;6;132010502;EQUIPAMENTOS C.P.D. - PROD;SERVICOS DE ENGENHARIA E SUPERVISAO DE C;30/11/2016;800015;SALA REUNI√O;0;TORT2007;1160;0;;;
800015;8;132010502;EQUIPAMENTOS C.P.D. - PROD;PISO VINILICO DE 50CM X 50CM E COLA PERM;30/11/2016;800015;SALA REUNI√O;0;TORT2007;1160;0;;;
800018;0;132010502;EQUIPAMENTOS C.P.D. - PROD;SERVICO DE SUPORTE TECNICO AVANCADO NO L;30/11/2016;800018;NI;0;TORT2007;7223;;;;
800018;1;132010502;EQUIPAMENTOS C.P.D. - PROD;SERVICOS DE ENGENHARIA E SUPERVISAO DE C;30/11/2016;800018;NI;0;TORT2007;7223;;;;
800018;4;132010502;EQUIPAMENTOS C.P.D. - PROD;COMPRA DE SOFTWARE PARA O SUPERVISORIO D;30/11/2016;800018;NI;0;TORT2007;7223;;;;
800018;6;132010502;EQUIPAMENTOS C.P.D. - PROD;CONFIGURACAO E IMPLANT. PROG. CONTROLE;30/11/2016;800018;NI;0;TORT2007;7223;;;;
800018;7;132010502;EQUIPAMENTOS C.P.D. - PROD;PRESTACAO DE SERVICOS DE ENGENHARIA E SU;30/11/2016;800018;NI;0;TORT2007;7223;;;;
800024;16;132010904;MOVEIS E UTENSILIOS - COML.;SERVICO DE FRETE;30/11/2016;105170;ADMINISTRATI;0;TORT2007;7222;HITACHI ;ASPO;N/D;Y223001
800024;25;132010902;MOVEIS E UTENSILIOS - PROD;CONJUNTO DE PROTETORES DE COLUNAS PARA P;30/11/2016;105170;ADMINISTRATI;0;TORT2007;7222;HITACHI ;ASPO;N/D;Y223001
800025;31;135010402;EQUIPAMENTOS - PROD;MAT. E SER. DE ATERR. BOMBA INC. GERADOR;30/11/2016;17400;PORTARIA;0;TORT2007;1165;SURCOM;;;
800025;34;135010402;EQUIPAMENTOS - PROD;SERVICO DE INSTAL. BOMBA INC. GERADORES;30/11/2016;17400;PORTARIA;0;TORT2007;1165;SURCOM;;;
800025;35;135010402;EQUIPAMENTOS - PROD;SERVICO DE INSTAL. BOMBA INC. GERADORES;30/11/2016;17400;PORTARIA;0;TORT2007;1165;SURCOM;;;
800025;36;135010402;EQUIPAMENTOS - PROD;SERVICO DE INSTAL. BOMBA INC. GERADORES;30/11/2016;17400;PORTARIA;0;TORT2007;1165;SURCOM;;;
800025;37;135010402;EQUIPAMENTOS - PROD;SERVI«OS DE ADEQUA«’ES T…CNICAS NA LINHA;30/11/2016;17400;PORTARIA;0;TORT2007;1165;SURCOM;;;
800026;16;135010402;EQUIPAMENTOS - PROD;SENSOR CAPACITIVO M30,2 FIOS E BUCHA RED;30/11/2016;105048;EXTRUSORA;0;TORT2007;7225;;0;RO-32216A;Y322001
800026;34;135010402;EQUIPAMENTOS - PROD;FORNECIMENTO DE ENGRENAGENS, EIXO PINHAO;30/11/2016;105048;EXTRUSORA;0;TORT2007;7225;;0;RO-32216A;Y322001
800026;40;135010402;EQUIPAMENTOS - PROD;EIXO NOVO COMPLETO PARA FORBERG;30/11/2016;105048;EXTRUSORA;0;TORT2007;7225;;0;RO-32216A;Y322001
800026;41;135010402;EQUIPAMENTOS - PROD;EIXO NOVO COMPLETO PARA FORBERG;30/11/2016;105048;EXTRUSORA;0;TORT2007;7225;;0;RO-32216A;Y322001
800026;42;135010402;EQUIPAMENTOS - PROD;REFORMA DO EQUIPAMENTO - JATEAMENTO E PI;30/11/2016;105048;EXTRUSORA;0;TORT2007;7225;;0;RO-32216A;Y322001
800026;49;135010402;EQUIPAMENTOS - PROD;SERVI«O DE INSTALA«√O DE SENSOR;30/11/2016;105048;EXTRUSORA;0;TORT2007;7225;;0;RO-32216A;Y322001
800027;29;135010402;EQUIPAMENTOS - PROD;MAT. REFORMA DO FILTRO MANGAS FORBERG II;30/11/2016;800027;NI;0;TORT2007;7224;;;;
800027;31;135010402;EQUIPAMENTOS - PROD;REFORMA E MELHORIA NO FILTRO FORBERG II;30/11/2016;800027;NI;0;TORT2007;7224;;;;
800033;0;135010402;EQUIPAMENTOS - PROD;CONECTOR PARAFUSO FENDIDO COM PINO REF.;30/11/2016;800033;NI;0;TORT2007;7224;;;;
800033;1;135010402;EQUIPAMENTOS - PROD;MAO DE OBRA ESPEC. MONTAGEM DE SISTEMA D;30/11/2016;800033;NI;0;TORT2007;7224;;;;
800033;12;135010402;EQUIPAMENTOS - PROD;SERVICO DE MELHORIA NAS MANGAS FORBERG 1;30/11/2016;800033;NI;0;TORT2007;7224;;;;
800033;13;135010402;EQUIPAMENTOS - PROD;SERVI«O DE SUBSTITUI«√O DE 55 MANGAS, SU;30/11/2016;800033;NI;0;TORT2007;7224;;;;
800033;14;135010402;EQUIPAMENTOS - PROD;SERVI«O DE TROCA DOS BONDINGS EM MALHA F;30/11/2016;800033;NI;0;TORT2007;7224;;;;
800033;4;135010402;EQUIPAMENTOS - PROD;SERVICO DE MODIFICACAO DOS MANIFOLDS CON;30/11/2016;800033;NI;0;TORT2007;7224;;;;
800033;6;135010402;EQUIPAMENTOS - PROD;"MANOMETRO TUBO EM ""U"" CONSTRUIDO EM TUBO";30/11/2016;800033;NI;0;TORT2007;7224;;;;
800033;7;135010402;EQUIPAMENTOS - PROD;KIT DE REPARO ASCOVAL DIAFRAGMA PEGUENO;30/11/2016;800033;NI;0;TORT2007;7224;;;;
800036;0;132010501;EQUIPAMENTOS C.P.D. - ADM;SERVICO DE CONSULTORIA EM INFORMATICA -;30/11/2016;16239;LOGÕSTICA ;0;TORT2007;3111;DELL;;;
800036;16;132010502;EQUIPAMENTOS C.P.D. - PROD;ACESSORIOS MICROCOMPUTADOR DELL;30/11/2016;16239;LOGÕSTICA ;0;TORT2007;3111;DELL;;;
800036;17;132010502;EQUIPAMENTOS C.P.D. - PROD;ACESSORIOS MICROCOMPUTADOR DELL;30/11/2016;16239;LOGÕSTICA ;0;TORT2007;3111;DELL;;;
800036;18;132010501;EQUIPAMENTOS C.P.D. - ADM;ACESSORIOS MICROCOMPUTADOR DELL;30/11/2016;16239;LOGÕSTICA ;0;TORT2007;3111;DELL;;;
800036;19;132010502;EQUIPAMENTOS C.P.D. - PROD;ACESSORIOS MICROCOMPUTADOR DELL;30/11/2016;16239;LOGÕSTICA ;0;TORT2007;3111;DELL;;;
800036;20;132010502;EQUIPAMENTOS C.P.D. - PROD;ACESSORIOS MICROCOMPUTADOR DELL;30/11/2016;16239;LOGÕSTICA ;0;TORT2007;3111;DELL;;;
800036;21;132010502;EQUIPAMENTOS C.P.D. - PROD;ACESSORIOS MICROCOMPUTADOR DELL;30/11/2016;16239;LOGÕSTICA ;0;TORT2007;3111;DELL;;;
800036;22;132010501;EQUIPAMENTOS C.P.D. - ADM;ACESSORIOS MICROCOMPUTADOR DELL;30/11/2016;16239;LOGÕSTICA ;0;TORT2007;3111;DELL;;;
800036;23;132010502;EQUIPAMENTOS C.P.D. - PROD;ACESSORIOS MICROCOMPUTADOR DELL;30/11/2016;16239;LOGÕSTICA ;0;TORT2007;3111;DELL;;;
800036;24;132010502;EQUIPAMENTOS C.P.D. - PROD;ACESSORIOS MICROCOMPUTADOR DELL;30/11/2016;16239;LOGÕSTICA ;0;TORT2007;3111;DELL;;;
800036;25;132010502;EQUIPAMENTOS C.P.D. - PROD;ACESSORIOS MICROCOMPUTADOR DELL;30/11/2016;16239;LOGÕSTICA ;0;TORT2007;3111;DELL;;;
800036;26;132010501;EQUIPAMENTOS C.P.D. - ADM;ACESSORIOS MICROCOMPUTADOR DELL;30/11/2016;16239;LOGÕSTICA ;0;TORT2007;3111;DELL;;;
800036;27;132010501;EQUIPAMENTOS C.P.D. - ADM;ACESSORIOS MICROCOMPUTADOR DELL;30/11/2016;16239;LOGÕSTICA ;0;TORT2007;3111;DELL;;;
800036;28;132010501;EQUIPAMENTOS C.P.D. - ADM;ACESSORIOS MICROCOMPUTADOR DELL;30/11/2016;16239;LOGÕSTICA ;0;TORT2007;3111;DELL;;;
800036;29;132010502;EQUIPAMENTOS C.P.D. - PROD;ACESSORIOS MICROCOMPUTADOR DELL;30/11/2016;16239;LOGÕSTICA ;0;TORT2007;3111;DELL;;;
800036;31;132010501;EQUIPAMENTOS C.P.D. - ADM;ACESSORIOS MICROCOMPUTADOR DELL;30/11/2016;16239;LOGÕSTICA ;0;TORT2007;3111;DELL;;;
800036;32;132010501;EQUIPAMENTOS C.P.D. - ADM;ACESSORIOS MICROCOMPUTADOR DELL;30/11/2016;16239;LOGÕSTICA ;0;TORT2007;3111;DELL;;;
800036;33;132010501;EQUIPAMENTOS C.P.D. - ADM;ACESSORIOS MICROCOMPUTADOR DELL;30/11/2016;16239;LOGÕSTICA ;0;TORT2007;3111;DELL;;;
800036;34;132010501;EQUIPAMENTOS C.P.D. - ADM;ACESSORIOS MICROCOMPUTADOR DELL;30/11/2016;16239;LOGÕSTICA ;0;TORT2007;3111;DELL;;;
800036;35;132010501;EQUIPAMENTOS C.P.D. - ADM;SERVICO DE CONSULTORIA EM INFORMATICA -;30/11/2016;16239;LOGÕSTICA ;0;TORT2007;3111;DELL;;;
800036;36;132010501;EQUIPAMENTOS C.P.D. - ADM;ACESSORIOS PARA MICROCOMPUTADOR DELL;30/11/2016;16239;LOGÕSTICA ;0;TORT2007;3111;DELL;;;
